Start time (min:sec)	Annotation	Layer (Make sure all of these spaces are filled)
0:03	Couples on bike 	Performing Femininity
0:22	Flower	Performing Femininity
0:36	Celebrity couple 	Performing Femininity
0:51 	Couple on bike from earlier	Performing Femininity
0:57	Couple on bike from earlier	Performing Femininity
1:50	animated silhouette of woman	Performing Femininity
1:51	Celeb couple from earlier	Performing Femininity
2:07	animated silhouette of woman	Performing Femininity
3:10	Couple on bike from earlier	Performing Femininity
3:18	Couple on bike from earlier	Performing Femininity
3:45	Celeb couple from earlier	Performing Femininity
4:04	Celeb couple from earlier	Performing Femininity
4:12	Celeb couple from earlier	Performing Femininity
4:27	Couple on bike from earlier - an ideal	Performing Femininity
4:29	Couple on bike from earlier 	Performing Femininity